,country,year,sex,age,suicides_no,population,crude_rate_per_100k
93,Albania,1992,male,05-14,0,362900.0,0.0
94,Albania,1992,male,55-74,5,159500.0,3.134796238244514
95,Albania,1992,male,75+,0,23900.0,0.0
96,Albania,1993,female,15-24,10,285300.0,3.5050823694356814
97,Albania,1993,female,25-34,7,261800.0,2.6737967914438503
98,Albania,1993,female,35-54,7,331200.0,2.1135265700483092
99,Albania,1993,female,05-14,1,340300.0,0.29385836027034967
100,Albania,1993,female,55-74,2,169500.0,1.1799410029498525
101,Albania,1993,female,75+,0,39300.0,0.0
102,Albania,1993,male,15-24,18,243300.0,7.398273736128237
103,Albania,1993,male,25-34,9,230100.0,3.9113428943937416
104,Albania,1993,male,35-54,10,350300.0,2.8546959748786755
105,Albania,1993,male,05-14,1,367000.0,0.2724795640326976
106,Albania,1993,male,55-74,7,165000.0,4.242424242424242
107,Albania,1993,male,75+,1,24200.0,4.132231404958678
108,Albania,1994,female,15-24,6,282600.0,2.1231422505307855
109,Albania,1994,female,25-34,4,261100.0,1.5319800842589044
110,Albania,1994,female,35-54,2,342500.0,0.5839416058394161
111,Albania,1994,female,05-14,0,344400.0,0.0
112,Albania,1994,female,55-74,1,174600.0,0.572737686139748
113,Albania,1994,female,75+,2,39900.0,5.012531328320802
114,Albania,1994,male,15-24,6,242200.0,2.477291494632535
115,Albania,1994,male,25-34,6,231400.0,2.592912705272256
116,Albania,1994,male,35-54,9,362800.0,2.4807056229327453
117,Albania,1994,male,05-14,1,371800.0,0.2689618074233459
118,Albania,1994,male,55-74,11,171400.0,6.417736289381564
119,Albania,1994,male,75+,2,24600.0,8.130081300813009
120,Albania,1995,female,15-24,13,283500.0,4.585537918871252
121,Albania,1995,female,25-34,7,264000.0,2.6515151515151514
122,Albania,1995,female,35-54,8,356400.0,2.244668911335578
123,Albania,1995,female,05-14,2,348700.0,0.5735589331803843
124,Albania,1995,female,55-74,2,180400.0,1.1086474501108647
125,Albania,1995,female,75+,2,40800.0,4.901960784313726
126,Albania,1995,male,15-24,11,241200.0,4.560530679933665
127,Albania,1995,male,25-34,13,232900.0,5.5817947617003005
128,Albania,1995,male,35-54,14,375900.0,3.7243947858473
129,Albania,1995,male,05-14,6,376500.0,1.593625498007968
130,Albania,1995,male,55-74,9,178000.0,5.056179775280899
131,Albania,1995,male,75+,1,25100.0,3.9840637450199203
132,Albania,1996,female,15-24,16,287700.0,5.561348627042058
133,Albania,1996,female,25-34,10,267900.0,3.732736095558044
134,Albania,1996,female,35-54,9,362000.0,2.4861878453038675
135,Albania,1996,female,05-14,1,354100.0,0.2824060999717594
136,Albania,1996,female,55-74,1,183100.0,0.5461496450027308
137,Albania,1996,female,75+,2,41200.0,4.8543689320388355
138,Albania,1996,male,15-24,17,243600.0,6.9786535303776684
139,Albania,1996,male,25-34,14,235300.0,5.9498512537186565
140,Albania,1996,male,35-54,12,379600.0,3.161222339304531
141,Albania,1996,male,05-14,2,380400.0,0.5257623554153523
142,Albania,1996,male,55-74,3,179900.0,1.6675931072818233
143,Albania,1996,male,75+,2,25400.0,7.874015748031496
144,Albania,1997,female,15-24,21,294000.0,7.142857142857143
145,Albania,1997,female,25-34,16,273900.0,5.841548010222709
146,Albania,1997,female,35-54,7,370100.0,1.8913807079167793
147,Albania,1997,female,05-14,6,361800.0,1.658374792703151
148,Albania,1997,female,55-74,0,187000.0,0.0
149,Albania,1997,female,75+,2,42100.0,4.750593824228028
150,Albania,1997,male,15-24,33,244400.0,13.502454991816695
151,Albania,1997,male,25-34,36,236000.0,15.254237288135593
152,Albania,1997,male,35-54,30,380800.0,7.878151260504202
153,Albania,1997,male,05-14,4,381500.0,1.0484927916120577
154,Albania,1997,male,55-74,12,180300.0,6.655574043261232
155,Albania,1997,male,75+,3,25400.0,11.811023622047244
156,Albania,1998,female,15-24,32,295600.0,10.825439783491204
157,Albania,1998,female,25-34,10,275300.0,3.6324010170722847
158,Albania,1998,female,35-54,9,372100.0,2.4187046492878257
159,Albania,1998,female,05-14,1,363800.0,0.2748763056624519
160,Albania,1998,female,55-74,6,188200.0,3.1880977683315623
161,Albania,1998,female,75+,0,42300.0,0.0
162,Albania,1998,male,15-24,27,248800.0,10.85209003215434
163,Albania,1998,male,25-34,26,240400.0,10.815307820299502
164,Albania,1998,male,35-54,29,388200.0,7.470376094796497
165,Albania,1998,male,05-14,2,388400.0,0.5149330587023687
166,Albania,1998,male,55-74,9,183800.0,4.896626768226333
167,Albania,1998,male,75+,3,25800.0,11.627906976744185
168,Albania,1999,female,15-24,19,296800.0,6.401617250673855
169,Albania,1999,female,25-34,13,276500.0,4.701627486437613
170,Albania,1999,female,35-54,5,373600.0,1.3383297644539613
171,Albania,1999,female,05-14,1,365200.0,0.2738225629791895
172,Albania,1999,female,55-74,6,188800.0,3.1779661016949152
173,Albania,1999,female,75+,4,42400.0,9.433962264150944
174,Albania,1999,male,15-24,24,250600.0,9.577015163607344
175,Albania,1999,male,25-34,19,242300.0,7.841518778373916
176,Albania,1999,male,35-54,31,391100.0,7.926361544362056
177,Albania,1999,male,05-14,0,391300.0,0.0
178,Albania,1999,male,55-74,14,185200.0,7.559395248380129
179,Albania,1999,male,75+,3,25900.0,11.583011583011583
180,Albania,2000,female,15-24,6,263900.0,2.2735884804850324
181,Albania,2000,female,25-34,3,245800.0,1.2205044751830756
182,Albania,2000,female,35-54,5,332200.0,1.5051173991571343
183,Albania,2000,female,05-14,0,324700.0,0.0
184,Albania,2000,female,55-74,0,168000.0,0.0
185,Albania,2000,female,75+,2,37800.0,5.291005291005291
186,Albania,2000,male,15-24,5,240000.0,2.0833333333333335
187,Albania,2000,male,25-34,17,232000.0,7.3275862068965525
188,Albania,2000,male,35-54,4,374700.0,1.0675206832132373
189,Albania,2000,male,05-14,1,374900.0,0.2667377967457989
190,Albania,2000,male,55-74,10,177400.0,5.636978579481398
191,Albania,2000,male,75+,1,24900.0,4.016064257028113
192,Albania,2001,female,15-24,9,271359.0,3.3166395807767572
193,Albania,2001,female,25-34,4,222771.0,1.7955658501330962
194,Albania,2001,female,35-54,12,370191.0,3.2415698922988403
195,Albania,2001,female,05-14,2,307356.0,0.6507112273715171
196,Albania,2001,female,55-74,6,189799.0,3.161238994936749
197,Albania,2001,female,75+,2,47254.0,4.232445930503237
198,Albania,2001,male,15-24,10,256039.0,3.905654997871418
199,Albania,2001,male,25-34,22,206484.0,10.654578562987933
200,Albania,2001,male,35-54,34,378826.0,8.975096746263455
201,Albania,2001,male,05-14,6,321556.0,1.8659269303014094
202,Albania,2001,male,55-74,11,196670.0,5.593125540245081
203,Albania,2001,male,75+,1,31044.0,3.2212343770132716
204,Albania,2002,female,15-24,14,275970.0,5.073015182809725
205,Albania,2002,female,25-34,7,223685.0,3.1294007197621654
206,Albania,2002,female,35-54,15,375113.0,3.9987950297643646
207,Albania,2002,female,05-14,1,304850.0,0.3280301787764474
208,Albania,2002,female,55-74,4,191712.0,2.086463027875146
209,Albania,2002,female,75+,1,47407.0,2.1093931275971904
210,Albania,2002,male,15-24,15,263067.0,5.701969460251571
211,Albania,2002,male,25-34,23,206286.0,11.14956904491822
212,Albania,2002,male,35-54,35,382139.0,9.158970950360994
213,Albania,2002,male,05-14,1,319473.0,0.31301549739727613
214,Albania,2002,male,55-74,13,198130.0,6.561348609498814
215,Albania,2002,male,75+,4,31007.0,12.90031283258619
216,Albania,2003,female,15-24,14,283709.0,4.934633726811628
217,Albania,2003,female,25-34,9,222941.0,4.036942509453174
218,Albania,2003,female,35-54,13,381760.0,3.4052808046940486
219,Albania,2003,female,05-14,0,298477.0,0.0
220,Albania,2003,female,55-74,9,195699.0,4.598899330093664
221,Albania,2003,female,75+,6,49088.0,12.222946544980443
222,Albania,2003,male,15-24,15,273235.0,5.489779859827621
223,Albania,2003,male,25-34,9,205433.0,4.380990395895498
224,Albania,2003,male,35-54,28,386196.0,7.250204559342925
225,Albania,2003,male,05-14,4,313204.0,1.27712289753643
226,Albania,2003,male,55-74,16,201520.0,7.939658594680428
227,Albania,2003,male,75+,1,32667.0,3.06119325313007
228,Albania,2004,female,15-24,20,292268.0,6.843034475207686
229,Albania,2004,female,25-34,11,222389.0,4.9462878109978465
230,Albania,2004,female,35-54,17,391436.0,4.342983271850316
231,Albania,2004,female,05-14,3,286705.0,1.046371706109067
232,Albania,2004,female,55-74,3,203841.0,1.4717353231194903
233,Albania,2004,female,75+,3,50970.0,5.885815185403178
234,Albania,2004,male,15-24,19,286768.0,6.625564916587625
235,Albania,2004,male,25-34,16,203938.0,7.845521678157087
236,Albania,2004,male,35-54,39,391767.0,9.95489666051505
237,Albania,2004,male,05-14,1,302181.0,0.3309274904775615
238,Albania,2004,male,55-74,10,207202.0,4.826208241233192
239,Albania,2004,male,75+,4,35526.0,11.259359342453413
240,Albania,2005,female,15-24,0,281922.0,0.0
241,Albania,2005,female,25-34,0,190745.0,0.0
242,Albania,2005,female,35-54,0,386513.0,0.0
243,Albania,2005,female,05-14,0,276559.0,0.0
244,Albania,2005,female,55-74,0,210998.0,0.0
245,Albania,2005,female,75+,0,53191.0,0.0
246,Albania,2005,male,15-24,0,281675.0,0.0
247,Albania,2005,male,25-34,0,177519.0,0.0
248,Albania,2005,male,35-54,0,380242.0,0.0
249,Albania,2005,male,05-14,0,291367.0,0.0
250,Albania,2005,male,55-74,0,214118.0,0.0
251,Albania,2005,male,75+,0,38471.0,0.0
252,Albania,2006,female,15-24,0,283138.0,0.0
253,Albania,2006,female,25-34,0,186391.0,0.0
254,Albania,2006,female,35-54,0,388746.0,0.0
255,Albania,2006,female,05-14,0,267316.0,0.0
256,Albania,2006,female,55-74,0,215907.0,0.0
257,Albania,2006,female,75+,0,56011.0,0.0
258,Albania,2006,male,15-24,0,286679.0,0.0
259,Albania,2006,male,25-34,0,174092.0,0.0
260,Albania,2006,male,35-54,0,379076.0,0.0
261,Albania,2006,male,05-14,0,282678.0,0.0
262,Albania,2006,male,55-74,0,219360.0,0.0
263,Albania,2006,male,75+,0,40782.0,0.0
264,Albania,2007,female,15-24,13,281080.0,4.625017788529956
265,Albania,2007,female,25-34,8,183629.0,4.356610339325488
266,Albania,2007,female,35-54,14,391811.0,3.573151340825041
267,Albania,2007,female,05-14,0,256808.0,0.0
268,Albania,2007,female,55-74,9,221120.0,4.070188133140377
269,Albania,2007,female,75+,3,57404.0,5.226116646923559
270,Albania,2007,male,15-24,13,288349.0,4.508425553756038
271,Albania,2007,male,25-34,9,172494.0,5.217572785140353
272,Albania,2007,male,35-54,29,378626.0,7.659273267023395
273,Albania,2007,male,05-14,4,272497.0,1.4679060686906646
274,Albania,2007,male,55-74,14,224160.0,6.245538900785153
275,Albania,2007,male,75+,8,42366.0,18.88306661001747
276,Albania,2008,female,15-24,20,276073.0,7.244460704234025
277,Albania,2008,female,25-34,9,182663.0,4.9271062010368825
278,Albania,2008,female,35-54,19,393832.0,4.824392126592049
279,Albania,2008,female,05-14,1,246288.0,0.40602871435067883
280,Albania,2008,female,55-74,7,226448.0,3.0912174097364518
281,Albania,2008,female,75+,5,59369.0,8.421903687109433
282,Albania,2008,male,15-24,11,286702.0,3.836736402257396
283,Albania,2008,male,25-34,21,172855.0,12.148910936912442
284,Albania,2008,male,35-54,37,377119.0,9.811226695021997
285,Albania,2008,male,05-14,7,262464.0,2.6670324311143623
286,Albania,2008,male,55-74,21,228672.0,9.183459277917716
287,Albania,2008,male,75+,2,44574.0,4.486920626374119
288,Albania,2009,female,15-24,0,270003.0,0.0
289,Albania,2009,female,25-34,0,182712.0,0.0
290,Albania,2009,female,35-54,0,394286.0,0.0
291,Albania,2009,female,05-14,0,236174.0,0.0
292,Albania,2009,female,55-74,0,233302.0,0.0
293,Albania,2009,female,75+,0,61582.0,0.0
294,Albania,2009,male,15-24,0,283448.0,0.0
295,Albania,2009,male,25-34,0,174955.0,0.0
296,Albania,2009,male,35-54,0,374365.0,0.0
297,Albania,2009,male,05-14,0,253007.0,0.0
298,Albania,2009,male,55-74,0,234570.0,0.0
299,Albania,2009,male,75+,0,47331.0,0.0
300,Albania,2010,female,15-24,6,263581.0,2.2763401003865984
301,Albania,2010,female,25-34,6,183579.0,3.2683476868269246
302,Albania,2010,female,35-54,12,394593.0,3.0411081798207267
303,Albania,2010,female,05-14,2,223969.0,0.8929807250110506
304,Albania,2010,female,55-74,7,241491.0,2.8986587491873403
305,Albania,2010,female,75+,2,64415.0,3.10486687883257
306,Albania,2010,male,15-24,10,279508.0,3.5777151280106474
307,Albania,2010,male,25-34,9,179720.0,5.0077898953928335
308,Albania,2010,male,35-54,20,371611.0,5.381972008363585
309,Albania,2010,male,05-14,0,240939.0,0.0
310,Albania,2010,male,55-74,20,241852.0,8.269520202437855
311,Albania,2010,male,75+,2,50767.0,3.9395670415821304
312,Albania,2011,female,15-24,193,258006.0,13.185093722737907
313,Albania,2011,female,25-34,193,184556.0,13.185093722737907
314,Albania,2011,female,35-54,193,394638.0,13.185093722737907
315,Albania,2011,female,05-14,193,210822.0,13.185093722737907
316,Albania,2011,female,55-74,193,250641.0,13.185093722737907
317,Albania,2011,female,75+,193,67649.0,13.185093722737907
318,Albania,2011,male,15-24,193,275385.0,13.185093722737907
319,Albania,2011,male,25-34,193,185898.0,13.185093722737907
320,Albania,2011,male,35-54,193,368950.0,13.185093722737907
321,Albania,2011,male,05-14,193,228071.0,13.185093722737907
322,Albania,2011,male,55-74,193,250362.0,13.185093722737907
323,Albania,2011,male,75+,193,54228.0,13.185093722737907
324,Albania,2012,female,15-24,193,249730.0,13.185093722737907
325,Albania,2012,female,25-34,193,187346.0,13.185093722737907
326,Albania,2012,female,35-54,193,395819.0,13.185093722737907
327,Albania,2012,female,05-14,193,198385.0,13.185093722737907
328,Albania,2012,female,55-74,193,259751.0,13.185093722737907
329,Albania,2012,female,75+,193,69811.0,13.185093722737907
330,Albania,2012,male,15-24,193,268954.0,13.185093722737907
331,Albania,2012,male,25-34,193,194250.0,13.185093722737907
332,Albania,2012,male,35-54,193,369536.0,13.185093722737907
333,Albania,2012,male,05-14,193,215894.0,13.185093722737907
334,Albania,2012,male,55-74,193,259056.0,13.185093722737907
335,Albania,2012,male,75+,193,56701.0,13.185093722737907
336,Albania,2013,female,15-24,193,237550.0,13.185093722737907
337,Albania,2013,female,25-34,193,191853.0,13.185093722737907
338,Albania,2013,female,35-54,193,397517.0,13.185093722737907
339,Albania,2013,female,05-14,193,187558.0,13.185093722737907
340,Albania,2013,female,55-74,193,269026.0,13.185093722737907
341,Albania,2013,female,75+,193,71601.0,13.185093722737907
342,Albania,2013,male,15-24,193,259826.0,13.185093722737907
343,Albania,2013,male,25-34,193,204491.0,13.185093722737907
344,Albania,2013,male,35-54,193,372005.0,13.185093722737907
345,Albania,2013,male,05-14,193,204865.0,13.185093722737907
346,Albania,2013,male,55-74,193,267905.0,13.185093722737907
347,Albania,2013,male,75+,193,59113.0,13.185093722737907
348,Albania,2014,female,15-24,193,224883.0,13.185093722737907
349,Albania,2014,female,25-34,193,195460.0,13.185093722737907
350,Albania,2014,female,35-54,193,399197.0,13.185093722737907
351,Albania,2014,female,05-14,193,177838.0,13.185093722737907
352,Albania,2014,female,55-74,193,278887.0,13.185093722737907
353,Albania,2014,female,75+,193,73945.0,13.185093722737907
354,Albania,2014,male,15-24,193,250345.0,13.185093722737907
355,Albania,2014,male,25-34,193,213828.0,13.185093722737907
356,Albania,2014,male,35-54,193,373493.0,13.185093722737907
357,Albania,2014,male,05-14,193,194554.0,13.185093722737907
358,Albania,2014,male,55-74,193,277604.0,13.185093722737907
359,Albania,2014,male,75+,193,61678.0,13.185093722737907
360,Albania,2015,female,15-24,193,212324.0,13.185093722737907
361,Albania,2015,female,25-34,193,199024.0,13.185093722737907
362,Albania,2015,female,35-54,193,400275.0,13.185093722737907
363,Albania,2015,female,05-14,193,168140.0,13.185093722737907
364,Albania,2015,female,55-74,193,289055.0,13.185093722737907
365,Albania,2015,female,75+,193,76861.0,13.185093722737907
366,Albania,2015,male,15-24,193,240777.0,13.185093722737907
367,Albania,2015,male,25-34,193,222680.0,13.185093722737907
368,Albania,2015,male,35-54,193,374464.0,13.185093722737907
369,Albania,2015,male,05-14,193,184114.0,13.185093722737907
370,Albania,2015,male,55-74,193,287770.0,13.185093722737907
371,Albania,2015,male,75+,193,64200.0,13.185093722737907
372,Anguilla,1983,female,15-24,0,193.3153901734104,13.185093722737907
373,Anguilla,1983,female,25-34,0,193.3153901734104,13.185093722737907
374,Anguilla,1983,female,35-54,0,193.3153901734104,13.185093722737907
375,Anguilla,1983,female,05-14,0,193.3153901734104,13.185093722737907
376,Anguilla,1983,female,55-74,0,193.3153901734104,13.185093722737907
377,Anguilla,1983,female,75+,0,193.3153901734104,13.185093722737907
378,Anguilla,1983,male,15-24,0,193.3153901734104,13.185093722737907
379,Anguilla,1983,male,25-34,0,193.3153901734104,13.185093722737907
380,Anguilla,1983,male,35-54,0,193.3153901734104,13.185093722737907
381,Anguilla,1983,male,05-14,0,193.3153901734104,13.185093722737907
382,Anguilla,1983,male,55-74,0,193.3153901734104,13.185093722737907
383,Anguilla,1983,male,75+,0,193.3153901734104,13.185093722737907
384,Anguilla,1984,female,15-24,0,193.3153901734104,13.185093722737907
385,Anguilla,1984,female,25-34,0,193.3153901734104,13.185093722737907
386,Anguilla,1984,female,35-54,0,193.3153901734104,13.185093722737907
387,Anguilla,1984,female,05-14,0,193.3153901734104,13.185093722737907
388,Anguilla,1984,female,55-74,0,193.3153901734104,13.185093722737907
389,Anguilla,1984,female,75+,0,193.3153901734104,13.185093722737907
390,Anguilla,1984,male,15-24,0,193.3153901734104,13.185093722737907
391,Anguilla,1984,male,25-34,0,193.3153901734104,13.185093722737907
392,Anguilla,1984,male,35-54,0,193.3153901734104,13.185093722737907
393,Anguilla,1984,male,05-14,0,193.3153901734104,13.185093722737907
394,Anguilla,1984,male,55-74,0,193.3153901734104,13.185093722737907
395,Anguilla,1984,male,75+,0,193.3153901734104,13.185093722737907
396,Anguilla,1985,female,15-24,0,193.3153901734104,13.185093722737907
397,Anguilla,1985,female,25-34,0,193.3153901734104,13.185093722737907
398,Anguilla,1985,female,35-54,0,193.3153901734104,13.185093722737907
399,Anguilla,1985,female,05-14,0,193.3153901734104,13.185093722737907
400,Anguilla,1985,female,55-74,0,193.3153901734104,13.185093722737907
401,Anguilla,1985,female,75+,0,193.3153901734104,13.185093722737907
402,Anguilla,1985,male,15-24,0,193.3153901734104,13.185093722737907
403,Anguilla,1985,male,25-34,0,193.3153901734104,13.185093722737907
404,Anguilla,1985,male,35-54,0,193.3153901734104,13.185093722737907
405,Anguilla,1985,male,05-14,0,193.3153901734104,13.185093722737907
406,Anguilla,1985,male,55-74,0,193.3153901734104,13.185093722737907
